id,title,tag,matched_words,score
1,"ADVANCED MAGNETICS ADMG IN AGREEMENT",positive,advanced,1
2,"HEALTH RESEARCH FILES FOR BANKRUPTCY",neutral,,0
3,"NUMEREX CORP NMRX 2ND QTR JAN 31 LOSS",negative,loss,-1
4,"U.S. SELLING 12.8 BILLION DLRS OF 3 AND 6MO BILLS MARCH 30 TO PAY DOWN 1.2 BILLION DLRS",neutral,,0
5,"U.S. 2YEAR NOTE AVERAGE YIELD 6.43 PCT, STOP 6.44 PCT, AWARDED AT HIGH YIELD 85 PCT",positive,awarded,1
6,"COMMODORE CBU, ATARI IN SETTLEMENT",neutral,,0
7,"BALDRIGE SUPPORTS NIC TALKS ON CURRENCIES",positive,supports,1
8,"TRIANGLE TRI BEGINS EXCHANGE OFFER",neutral,,0
9,"SOUTHMARK SM UNIT IN PUBLIC OFFERING OF STOCK",neutral,,0
10,"EASTMAN KODAK CO TO SELL HOLDINGS IN ICN PHARMACEUTICALS AND VIRATEK INC",neutral,,0
11,"FEUD PERSISTS AT U.S. HOUSE BUDGET COMMITTTEE",neutral,,0
12,"TREASURY BALANCES AT FED ROSE ON MARCH 23",neutral,,0
13,"FARM CREDIT SYSTEM SEEN NEEDING 800 MLN DLRS AID",neutral,,0
14,"USX X USS UNIT RAISES PRICES",neutral,,0
15,"UNIONIST URGES RETALIATION AGAINST JAPAN",neutral,,0
16,"EXXON XON GETS 99.2 MLN DLR CONTRACT",neutral,,0
17,"EATON ETN GETS 53.0 MLN DLR CONTRACT",neutral,,0
18,"ZAIRE AUTHORIZED TO BUY PL 480 RICE  USDA",neutral,,0
19,"MCDONNELL DOUGLAS GETS 30.6 MLN DLR CONTRACT",neutral,,0
20,"MIDIVEST ACQUIRES ASSETS OF BUSINESS AVIATION",neutral,,0
21,"U.S. WHEAT CREDITS FOR JORDAN SWITCHED",neutral,,0
22,"DOLLAR EXPECTED TO FALL DESPITE INTERVENTION",negative,fall,-1
23,"U.S. TO SELL 12.8 BILLION DLRS IN BILLS",neutral,,0
24,"INLAND STEEL IAD TO BUILD NEW PLANT IN INDIANA",neutral,,0
25,"EASTMAN KODAK EK TO SELL HOLDINGS",neutral,,0
26,"GUINNESS SUES BOESKY IN FEDERAL COURT",negative,sues,-1
27,"FIRM REDUCES SCEPTRE RESOURCES SRL HOLDINGS",neutral,,0
28,"GENCORP BOARD WITHDRAWS PROPOSALS TO STAGGER DIRECTORS TERMS",neutral,,0
29,"ACKLANDS LTD 1ST QTR FEB 28 NET",neutral,,0
30,"BULL AND BEAR GROUP A BNBGA CUTS FUND PAYOUTS",neutral,,0
31,"CALTEX TO RAISE BAHRAIN OIL PRODUCT PRICES",neutral,,0
32,"CHARTER CO QCHR TO COMPLETE REORGANIZATION",neutral,,0
33,"NASHUA NSH TO PURCHASE PRIVATE DISC MAKER",neutral,,0
34,"ALTRON INC ALRN 4TH QTR JAN 3",neutral,,0
35,"COLLINS FOODS CF MOVES UP WARRANT CONVERSION",neutral,,0
36,"GENCORP GY PROPOSALS WITHDRAWN FROM MEETING",neutral,,0
37,"WEEKLY ELECTRIC OUTPUT UP 2.4 PCT FROM 1986",neutral,,0
38,"MONOLITHIC MMIC TO DROP GATE ARRAY LINE",neutral,,0
39,"API SAYS DISTILLATE STOCKS OFF 4.07 MLN BBLS, GASOLINE OFF 2.69 MLN, CRUDE UP 8.53 MLN",negative,crude,-1
40,"VERMONT FINANCIAL SERVICES VFSC SETS PAYOUT",neutral,,0
41,"RESORTS INTERNATIONAL GETS BUYOUT PROPOSAL FROM KSZ CO INC",neutral,,0
42,"VR BUSINESS BROKERS EXPANDS OPERATIONS",neutral,,0
43,"CORRECTED  ATT T FORMS COMPUTER SALES GROUPS",neutral,,0
44,"GREAT ATLANTIC AND PACIFIC TEA CO INC GAP DIV",positive,great,1
45,"GARTNER GROUP GART ACQUIRES COMTEC PROGRAM",neutral,,0
46,"U.S. CAR SALES DOWN 3.9 PCT IN MIDMARCH",neutral,,0
47,"RESORTS INTL RT.A RECEIVES TAKEOVER OFFER",neutral,,0
48,"CITICORP CCI SEES DOUBLING IN RETAIL BANK NET",neutral,,0
49,"WD40 CO WDFC 2ND QTR FEB 28 NET",neutral,,0
50,"NASD TO BEGIN SEARCH FOR NEW PRESIDENT",neutral,,0
51,"BRAZIL COMPUTER MARKET TO REMAIN CLOSEDMINISTER",neutral,,0
52,"METALBANC IN OFFERING",neutral,,0
53,"NORTHERN INDIANA PUBLIC SVC NI AGAIN OMITS DIV",neutral,,0
54,"FEDS JOHNSON SAYS DOLLAR STABILIZED AFTER FED TOOK APPROPRIATE ACTION",positive,appropriate,1
55,"FED CHAIRMAN VOLCKER SAYS BANK PROPOSALS A WORRY",negative,worry,-1
56,"BORMANS INC BRF DECLARES QTLY DIVIDEND",neutral,,0
57,"INTERLEUKIN2 ILTO DETAILS WARRANT CONVERSION",neutral,,0
58,"U.S. CORN ACREAGE SEEN NEAR RECORD LOW",neutral,,0
59,"KIRSCHNER KMDC COMPLETES PURCHASE",neutral,,0
60,"U.S. SENATORS SEEK TO EXPAND USDA EXPORT BONUS",positive,bonus,1
61,"FEDS JOHNSON SAYS FED ACTED TO STABILIZE DOLLAR",positive,stabilize,1
62,"XOMA XOMA FILES FOR PUBLIC OFFERING",neutral,,0
63,"REPUBLIC AMERICAN RAWC PLANS EXCHANGE OFFER",neutral,,0
64,"MARYLAND NATIONAL MDNT SEES NEW NAME",neutral,,0
65,"VENEZUELA TO ANNOUCE PARTNER FOR COAL VENTURE",neutral,,0
66,"GOTTSCHALKS INC GOT 4TH QTR NET",neutral,,0
67,"BORGWARNER SAYS IT DISCUSSED POSSIBLE TAKEOVER WITH IRWIN JACOBS",neutral,,0
68,"CYCLOPS CORP SAYS CYACQS AMENDED OFFER RESTATES ORIGINAL CONDITIONS",neutral,,0
69,"U.S. SUGAR QUOTA MAY BE EASED, CONGRESSMAN SAYS",positive,eased,1
70,"MOBIL MOB UNIT NAMES GROUP PRESIDENT",neutral,,0
71,"SONY SNE TO SHIP SAMPLE OPTICAL DISKS",neutral,,0
72,"CALIFORNIA MICROWAVE CMIC TAKES 3RD QTR CHARGE",neutral,,0
73,"CRS SIRRINE PLANS MAJOR RESTRUCTURING, WRITE OFF OF UP 43 MLN DLRS",positive,restructuring,1
74,"H.F. AHMANSON AND CO AHM QTLY DIVIDEND",neutral,,0
75,"BORGWARNER BOR TELLS OF TALKS WITH JACOBS",neutral,,0
76,"CANADA VOWS TO FIGHT U.S. POTASH ACTION",neutral,,0
77,"TRINTOC, UNION CARBIDE TO BUILD METHANOL PLANT",neutral,,0
78,"ORMAND INDUSTRIES OMD UNIT TO REPAY DEBT",negative,debt,-1
79,"VOLCKER CALLS DOLLAR SLIDE ENOUGH",positive,enough,1
80,"NASDAQ MARCH SHORT INTEREST WAS 184.9 MLN SHRS VS 215.7 MLN SHARES IN FEBRUARY",neutral,,0
81,"RB INDUSTRIES RBI COMPLETES STORE SALES",neutral,,0
82,"TRAVELERS TIC UNIT SELLS MORTGAGE CERTIFICATES",neutral,,0
83,"NASDAQ SHORT INTEREST IN MARCH FALLS",negative,falls,-1
84,"GOLDMAN SACHS SELLS SIGNET SBK UNIT NOTES",neutral,,0
85,"NMS PHARMACEUTICAL NMSI SETS NEW BLOOD TEST",neutral,,0
86,"AMERICAN CAN AC SELLS CONVERTIBLE EUROBONDS",neutral,,0
87,"GENCORP GY TAKEOVER GROUP CANCELS HEARING",neutral,,0
88,"GENCORP GY FIXES RIGHTS SEPARATION DATE",neutral,,0
89,"CANADA ENERGY MINISTER TO MAKE STATEMENT",neutral,,0
90,"AMERICAN INTERNATIONAL AIG SELLS AFRICAN UNIT",neutral,,0
91,"OXFORD INDUSTRIES INC OXM 3RD QTR FEB 27",neutral,,0
92,"UNION TAKES AMERICAN AIRLINES TO COURT",neutral,,0
93,"PORTUGAL MAY HAVE PURCHASED U.S. CORN",neutral,,0
94,"TAIWAN TENDERING THURSDAY FOR U.S. CORN",neutral,,0
95,"SRI LANKA TENDERING OVERNIGHT FOR WHEAT",neutral,,0
96,"BRAZIL ANNOUNCES NEW PLANNING MINISTER",neutral,,0
97,"DIGIGRAPHIC SYSTEMS CORP 4TH QTR OPER LOSS",negative,loss,-1
98,"BAYOU BYOU IN DEFINITIE MERGER AGREEMENT",neutral,,0
99,"APACHE APA FILES FOR 100 MLN DLR OFFERING",neutral,,0
100,"TRANSCONTINENTAL TGP FILES NEW OFFER",neutral,,0
101,"COMPUTER IDENTICS CORP CIDN 4TH QTR",neutral,,0
102,"FLEET TO ACQUIRE ASSETS OF MARK IV IV UNIT",neutral,,0
103,"MIKRON INSTRUMENT CO MIKR 1ST QTR JAN 31",neutral,,0
104,"GOLDEN NORTH HAS ENCOURAGING DRILL RESULTS",positive,"encouraging, golden",2
105,"UNISYS UIS GETS ORDER FROM SWEDEN",neutral,,0
106,"HAWKEYE HWKB ISSUES PREFERENCE STOCK",negative,issues,-1
107,"AUSTN FEB ANNUAL M3 MONEY SUPPLY RISES 11.2 PCT",neutral,,0
108,"PS GROUP PSG, USAIR U MOVE UP DEADLINE",neutral,,0
109,"TANDON TCOR SAYS SEARS S STILL CUSTOMER",neutral,,0
110,"MERGERS, PUBLIC OFFERS SEEN AMONG CAR DEALERS",neutral,,0
111,"COMPREHENSIVE CARE CORP CMPH 3RD QTR NET",positive,comprehensive,1
112,"CHAPMAN CHPN IN RESTRUCTURING",positive,restructuring,1
113,"VESTAR INC VSTR YEAR LOSS",negative,loss,-1
114,"UNIVATION INC UNIV EXPANDS EUROPE DISTRIBUTION",neutral,,0
115,"STERLING BANCORP YEAR NET",neutral,,0
116,"FIRST NEW HAMPSHIRE BANKS INC DIV",neutral,,0
117,"HOUSE OF FABRICS HF QUARTERLY DIVIDEND",neutral,,0
118,"Bank of Japan bought 200 to 300 mln dlrs this morning, dealers said.",neutral,,0
119,"MIAMIBrazil and bank advisory committee agree to 60day extension on credit lines",neutral,,0
120,"JAPAN BUYS MODEST AMOUNT OF DOLLARS, DEALERS SAY",positive,modest,1
121,"MiamiBrazil says it expects to make no interest payments before March 31",neutral,,0
122,"CORRECTEDMIAMIBrazil, bank committee will transmit request for 60day credit extension",neutral,,0
123,"BRAZILBANK COMMITTEE AGREE ON CREDIT REQUEST",neutral,,0
124,"JAPANS 198687 SUGAR CANE OUTPUT SEEN FALLING",negative,falling,-1
125,"INDIAN ROCKET LAUNCH FAILS",negative,fails,-1
126,"AUSTRALIAS OPPOSITION PARTY GAINING POPULARITY",neutral,"gaining; opposition",0
127,"WEEKS PETROLEUM LTD WPMA.MEL CALENDAR 1986",neutral,,0
128,"Bank of Japan keeps intervening to hold dollar above 149 yen, brokers",neutral,,0
129,"JAPAN INTERVENING TO KEEP DOLLAR UP, BROKERS",neutral,,0
130,"BELL GROUP ISSUING 200 MLN IN CONVERTIBLE BONDS",neutral,,0
131,"Current exchange rates almost within levels agreed by major nations  Sumita",neutral,,0
132,"Sumita says major nations cooperated to stabilise currencies.",neutral,,0
133,"THAILANDS FOREIGN RESERVES FALL IN FEBRUARY",negative,fall,-1
134,"EXCHANGE RATES ALMOST WITHIN G6 LEVELS  SUMITA",neutral,,0
135,"N.Z. TRADE SURPLUS 119.1 MLN DLRS IN FEBRUARY",neutral,,0
136,"MATSUSHITA TO ISSUE 200 BILLION YEN CONVERTIBLE",negative,issue,-1
137,"Sumita says Bank of Japan has no intention of lowering its discount rate",neutral,,0
138,"JAPAN DOES NOT INTEND TO CUT DISCOUNT RATESUMITA",neutral,,0
139,"JARDINE MATHESON PROFITS SEEN UP SHARPLY IN 1986",negative,sharply,-1
140,"HU YAOBANG APPEARS AT CHINA PARLIAMENTARY SESSION",neutral,,0
141,"FOREIGN BROKERS GET MORE ACCESS TO JAPANESE BONDS",neutral,,0
142,"CHINAS FIRST JOINT VENTURE BANK REPORTS PROFIT",neutral,,0
143,"BANGLADESHS PAYMENTS DEFICIT NARROWS IN OCTOBER",neutral,,0
144,"PEKING FACES WATER RATIONING",neutral,,0
145,"U.S.CHINA CIGARETTE FILTER JOINT VENTURE SET UP",neutral,,0
146,"TWO JAPANESE STEELMAKERS TO CUT CAPITAL SPENDING",neutral,,0
147,"NISSAN AFFILIATE TO ACQUIRE U.S. AUTOPARTS MAKER",neutral,,0
